system:index,Area,Carbon,Change,Percent,Year,.geo
0,0.8275326430644919,9930.391716773904,0,0,1996,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0.05111132166029987,613.3358599235985,-0.7764213214041921,-93.82364888096426,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,18.003528065495995,216042.33678595195,17.175995422431505,2075.5671170657292,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,8.473311377543132,101679.73653051758,7.64577873447864,923.924729562938,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
